model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_fuel,model_transmission_type,model_drive
5254,bmw,M1,i,1978,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear
4507,bmw,320,Turbo,1979,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear
5577,bmw,628,CSi,1979,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5507,bmw,633,CSi,1979,Coupe,Front,3210,6,in-line,Gasoline,Manual,Rear
5730,bmw,725,d,1979,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear
4423,bmw,728,i,1979,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear
5581,bmw,732,i,1979,Sedan,Front,3210,6,in-line,Gasoline,Manual,Rear
4362,bmw,735,i,1979,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear
4941,bmw,735,i,1979,Sedan,Front,3451,6,in-line,Gasoline,Manual,Rear
47953,bmw,M1,i,1979,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear
5645,bmw,316,Automatic,1980,Coupe,Front,1573,4,in-line,Gasoline,Manual,Rear
4495,bmw,628,CSi,1980,Coupe,Front,2787,6,in-line,Gasoline,Manual,Rear
5759,bmw,628,CSi,1980,Coupe,Front,2786,6,in-line,Gasoline,Manual,Rear
4533,bmw,725,d,1980,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear
5184,bmw,M1,i,1980,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear
5330,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1980,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear
5105,bmw,518,i,1981,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
4834,bmw,520,i,1981,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear
5022,bmw,525,i,1981,Sedan,Front,2495,6,in-line,Diesel,Manual,Rear
5519,bmw,528,i,1981,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear
4192,bmw,628,CSi,1981,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5089,bmw,725,d,1981,Sedan,Front,2493,6,in-line,Gasoline,Manual,Rear
5023,bmw,745,i,1981,Sedan,Front,3430,6,in-line,Gasoline - Premium,Manual,Rear
5087,bmw,745,i Automatic,1981,Sedan,Front,3430,6,in-line,Gasoline - Premium,Automatic,Rear
47954,bmw,M1,i,1981,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear
4473,bmw,316,Automatic,1982,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear
4769,bmw,318,Automatic,1982,Sedan,Front,1765,4,in-line,Gasoline - Premium,Manual,Rear
52995,bmw,318,Automatic,1982,Sedan,Front,1765,4,in-line,Gasoline - Premium,Automatic,Rear
5446,bmw,320,Automatic,1982,Sedan,Front,1990,6,in-line,Gasoline,Manual,Rear
53009,bmw,320,Automatic,1982,Sedan,Front,1990,6,in-line,Gasoline,Automatic,Rear
5276,bmw,323,i,1982,Sedan,Front,2315,6,in-line,Gasoline,Manual,Rear
5499,bmw,323,i Edition,1982,Sedan,Front,2493,6,in-line,Gasoline,Manual,Rear
5236,bmw,325,e,1982,Sedan,Front,2693,6,in-line,Gasoline - Premium,Manual,Rear
5225,bmw,328,i,1982,Coupe,Front,3001,6,in-line,Gasoline,Manual,Rear
5605,bmw,328,i Automatic,1982,Coupe,Front,2793,6,in-line,Gasoline,Automatic,Rear
5140,bmw,333,i,1982,Sedan,Front,3300,6,in-line,Gasoline,Manual,Rear
5532,bmw,628,CSi,1982,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5518,bmw,316,Automatic,1983,Coupe,Front,1572,4,in-line,Gasoline,Manual,Rear
5765,bmw,316,Automatic,1983,Coupe,Front,1765,4,in-line,Gasoline,Automatic,Rear
5703,bmw,320,i,1983,Sedan,Front,1991,6,in-line,Gasoline - Premium,Manual,Rear
4475,bmw,323,i,1983,Sedan,Front,2315,6,in-line,Gasoline,Manual,Rear
5594,bmw,325,Automatic,1983,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear
53049,bmw,325,Automatic,1983,Sedan,Front,2494,6,in-line,Gasoline,Automatic,Rear
5270,bmw,525,e,1983,Sedan,Front,2693,6,in-line,Diesel,Manual,Rear
5055,bmw,525,e Automatic,1983,Sedan,Front,2691,6,in-line,Diesel,Automatic,Rear
5154,bmw,628,CSi,1983,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5028,bmw,725,d,1983,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear
4535,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1983,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
5409,bmw,316,Automatic,1984,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear
4814,bmw,316,Automatic,1984,Sedan,Front,1767,4,in-line,Gasoline,Automatic,Rear
4688,bmw,318,i,1984,Sedan,Front,1766,4,in-line,Gasoline - Premium,Manual,Rear
4459,bmw,323,i,1984,Sedan,Front,2314,6,in-line,Gasoline,Manual,Rear
4595,bmw,628,CSi,1984,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5375,bmw,725,d,1984,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear
4520,bmw,M6,635 CSi,1984,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
5417,bmw,M6,635 CSi,1984,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
4439,bmw,M6,CSi,1984,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
4900,bmw,316,Automatic,1985,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear
4327,bmw,324,d,1985,Sedan,Front,2494,6,in-line,Diesel,Manual,Rear
4906,bmw,325,e,1985,Coupe,Front,2693,6,in-line,Gasoline - Premium,Manual,Rear
4337,bmw,333,i,1985,Sedan,Front,3210,4,in-line,Gasoline,Manual,Rear
4339,bmw,628,CSi,1985,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5121,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1985,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear
5328,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1985,Coupe,Front,3451,6,in-line,Gasoline,Manual,Rear
4553,bmw,316,Automatic,1986,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear
4317,bmw,320,Cabriolet,1986,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear
4767,bmw,325,Cabriolet,1986,Convertible,Front,2493,6,in-line,Gasoline,Manual,Rear
4352,bmw,325,e,1986,Sedan,Front,2693,6,in-line,Gasoline,Manual,Rear
4974,bmw,628,CSi,1986,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5241,bmw,730,i,1986,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
5032,bmw,730,i,1986,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
5567,bmw,735,i,1986,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear
5033,bmw,735,i,1986,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear
5395,bmw,M3,Convertible,1986,Coupe,Front,2302,4,in-line,Gasoline,Manual,Rear
4326,bmw,M5,Automatic,1986,Sedan,Front,3428,6,in-line,Gasoline,Automatic,Rear
5392,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1986,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
5598,bmw,Z1,i,1986,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear
4299,bmw,316,Automatic,1987,Sedan,Front,1571,4,in-line,Gasoline,Manual,Rear
4948,bmw,318,i,1987,Sedan,Front,1796,4,in-line,Gasoline - Premium,Manual,Rear
5616,bmw,320,Cabriolet,1987,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear
5118,bmw,320,is,1987,Coupe,Front,1989,4,in-line,Gasoline - Premium,Manual,Rear
4376,bmw,324,td,1987,Sedan,Front,2443,6,in-line,Diesel,Manual,Rear
4131,bmw,628,CSi,1987,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear
5431,bmw,730,Automatic,1987,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
5233,bmw,750,Li,1987,Sedan,Front,4986,12,V,Gasoline,Manual,Rear
5623,bmw,750,Li,1987,Sedan,Front,4986,12,V,Gasoline,Automatic,Rear
5593,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1987,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
5112,bmw,Z1,i,1987,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear
4676,bmw,316,g Compact,1988,Hatchback,Front,1596,4,in-line,Gasoline - Premium,Manual,Rear
4164,bmw,320,Cabriolet,1988,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear
5211,bmw,520,i Automatic,1988,Sedan,Front,1989,6,in-line,Gasoline,Automatic,Rear
4452,bmw,524,d,1988,Sedan,Front,2493,6,in-line,Diesel,Manual,Rear
4554,bmw,525,i SE,1988,Sedan,Front,2443,6,in-line,Gasoline,Manual,Rear
5228,bmw,525,i SE,1988,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear
5300,bmw,525,i SE Automatic,1988,Sedan,Front,2441,6,in-line,Gasoline,Automatic,Rear
5441,bmw,530,i,1988,Sedan,Front,2986,6,in-line,Diesel,Manual,Rear
4802,bmw,535,i SE,1988,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear
5287,bmw,535,i SE,1988,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear
4656,bmw,535,i SE Automatic,1988,Sedan,Front,3430,6,in-line,Gasoline,Automatic,Rear
4559,bmw,730,Automatic,1988,Sedan,Front,2984,6,in-line,Gasoline,Manual,Rear
4120,bmw,M3,Evolution,1988,Coupe,Front,2303,4,in-line,Gasoline,Manual,Rear
5728,bmw,M3,US-version,1988,Coupe,Front,2302,4,in-line,Gasoline,Manual,Rear
4968,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1988,Sedan,Front,3533,6,in-line,Gasoline,Manual,Rear
5608,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1988,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear
4563,bmw,Z1,i,1988,Roadster,Front,2492,6,in-line,Gasoline,Manual,Rear
4343,bmw,316,Automatic,1989,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear
5003,bmw,518,i,1989,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
5523,bmw,730,Automatic,1989,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
5434,bmw,750,i,1989,Sedan,Front,4988,12,V,Gasoline - Premium,Automatic,Rear
5289,bmw,850,i,1989,Coupe,Front,4988,12,V,Gasoline,Manual,Rear
5526,bmw,850,i Automatic,1989,Coupe,Front,4988,12,V,Gasoline,Automatic,Rear
4293,bmw,Z1,i,1989,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear
5318,bmw,316,Automatic,1990,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear
5295,bmw,320,Cabriolet,1990,Convertible,Front,1988,6,in-line,Gasoline - Premium,Manual,Rear
4277,bmw,320,i Touring 2.0,1990,Station Wagon,Front,2199,6,in-line,Gasoline - Premium,Manual,Rear
5667,bmw,518,i,1990,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
4616,bmw,518,i,1990,Sedan,Front,1794,4,in-line,Gasoline,Manual,Rear
5299,bmw,520,i,1990,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear
4861,bmw,525,i,1990,Sedan,Front,2494,6,in-line,Diesel,Manual,Rear
5643,bmw,730,Automatic,1990,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
4982,bmw,850,Automatic,1990,Coupe,Front,4988,12,V,Gasoline,Manual,Rear
53289,bmw,850,Automatic,1990,Coupe,Front,4988,12,V,Gasoline,Automatic,Rear
5543,bmw,M3,Sports Evolution,1990,Coupe,Front,2467,4,in-line,Gasoline,Manual,Rear
5648,bmw,M3,Sports Evolution,1990,Coupe,Front,2467,4,in-line,Gasoline,Manual,Rear
5646,bmw,Z1,i,1990,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear
4449,bmw,316,Automatic,1991,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear
4218,bmw,318,is Coupe,1991,Coupe,Front,1796,4,in-line,Gasoline - Premium,Manual,Rear
5671,bmw,320,Cabriolet,1991,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear
5044,bmw,320,i,1991,Sedan,Front,1991,6,in-line,Gasoline - Premium,Manual,Rear
4552,bmw,325,d,1991,Sedan,Front,2443,6,in-line,Diesel,Manual,Rear
5302,bmw,518,i,1991,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
5065,bmw,525,i 24V,1991,Sedan,Front,2500,6,in-line,Gasoline,Manual,Rear
5399,bmw,525,TDS Touring,1991,Station Wagon,Front,2496,6,in-line,Diesel,Manual,Rear
5479,bmw,730,Automatic,1991,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
5356,bmw,M12,Nazca,1991,Coupe,Middle,4988,12,V,Gasoline,Manual,Rear
4810,bmw,Z1,i,1991,Roadster,Front,2497,6,in-line,Gasoline,Manual,Rear
5625,bmw,316,Automatic,1992,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear
5363,bmw,318,Coupe,1992,Coupe,Front,1895,4,in-line,Gasoline,Manual,Rear
4419,bmw,320,Cabriolet,1992,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear
4936,bmw,320,Coupe,1992,Coupe,Front,1990,6,in-line,Gasoline,Manual,Rear
5298,bmw,325,Coupe,1992,Coupe,Front,2492,6,in-line,Gasoline,Manual,Rear
5650,bmw,332,Coupe,1992,Coupe,Front,3152,6,in-line,Gasoline,Manual,Rear
5097,bmw,332,Coupe,1992,Coupe,Front,3201,6,in-line,Gasoline,Manual,Rear
5651,bmw,518,i,1992,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
5017,bmw,520,Touring,1992,Station Wagon,Front,1990,6,in-line,Gasoline,Manual,Rear
4820,bmw,525,d Touring,1992,Station Wagon,Front,2498,6,in-line,Diesel,Manual,Rear
5343,bmw,530,d,1992,Sedan,Front,2997,6,in-line,Gasoline,Automatic,Rear
5085,bmw,538,Touring,1992,Sedan,Front,3795,6,in-line,Gasoline,Automatic,Rear
5232,bmw,540,i Automatic,1992,Sedan,Front,3980,8,in-line,Gasoline,Automatic,Rear
5753,bmw,540,i Automatic,1992,Sedan,Front,3982,8,V,Gasoline,Automatic,Rear
4288,bmw,545,Touring,1992,Station Wagon,Front,4398,8,in-line,Gasoline,Automatic,Rear
5419,bmw,730,Automatic,1992,Sedan,Front,2984,6,in-line,Gasoline,Manual,Rear
5666,bmw,740,Li,1992,Sedan,Front,3982,8,in-line,Gasoline,Automatic,Rear
4267,bmw,740,i,1992,Sedan,Front,3980,8,V,Gasoline,Automatic,Rear
5359,bmw,740,Li,1992,Sedan,Front,3982,8,V,Gasoline,Automatic,Rear
4588,bmw,850,Automatic,1992,Coupe,Front,4988,12,V,Gasoline,Manual,Rear
53290,bmw,850,Automatic,1992,Coupe,Front,4988,12,V,Gasoline,Automatic,Rear
5611,bmw,850,CSi,1992,Coupe,Front,5576,12,V,Gasoline,Manual,Rear
5679,bmw,850,i,1992,Coupe,Front,5500,12,V,Gasoline,Manual,Rear
4874,bmw,M3,Convertible,1992,Coupe,Front,2990,6,in-line,Gasoline,Manual,Rear
5313,bmw,316,i Coupe,1993,Coupe,Front,1596,4,in-line,Gasoline - Premium,Manual,Rear
5059,bmw,316,i Lux Touring,1993,Station Wagon,Front,1594,4,in-line,Gasoline - Premium,Manual,Rear
4207,bmw,325,Cabriolet,1993,Convertible,Front,2494,6,in-line,Gasoline,Manual,Rear
4668,bmw,5.8,Coupe,1993,Sedan,Front,5800,12,V,Gasoline,Manual,Rear
5369,bmw,518,i,1993,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
5282,bmw,520,Touring,1993,Station Wagon,Front,1990,6,in-line,Gasoline,Manual,Rear
5459,bmw,840,Ci,1993,Coupe,Front,3982,8,in-line,Gasoline,Manual,Rear
4297,bmw,840,Ci,1993,Coupe,Front,3981,8,V,Gasoline,Manual,Rear
5244,bmw,856,i,1993,Coupe,Front,5576,12,V,Gasoline,Manual,Rear
4241,bmw,M3,Convertible,1993,Coupe,Front,2990,6,in-line,Gasoline,Manual,Rear
4876,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1993,Sedan,Front,3795,6,in-line,Gasoline,Manual,Rear
5312,bmw,316,i Compact,1994,Hatchback,Front,1596,4,in-line,Gasoline - Premium,Manual,Rear
4626,bmw,318,Cabriolet,1994,Convertible,Front,1796,4,in-line,Gasoline,Manual,Rear
4134,bmw,518,i,1994,Sedan,Front,1794,4,in-line,Gasoline,Manual,Rear
5187,bmw,520,Touring,1994,Station Wagon,Front,1990,6,in-line,Gasoline,Manual,Rear
4797,bmw,730,Automatic,1994,Sedan,Front,2997,8,in-line,Gasoline,Automatic,Rear
4486,bmw,735,i,1994,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear
4932,bmw,740,i,1994,Sedan,Front,3982,8,in-line,Gasoline,Automatic,Rear
5423,bmw,740,i,1994,Sedan,Front,3982,8,V,Gasoline,Automatic,Rear
5630,bmw,750,Li,1994,Sedan,Front,5379,12,in-line,Gasoline,Automatic,Rear
4939,bmw,840,Ci,1994,Coupe,Front,3982,8,V,Gasoline,Automatic,Rear
4309,bmw,854,i,1994,Coupe,Front,5378,12,V,Gasoline,Automatic,Rear
5125,bmw,M3,Convertible,1994,Coupe,Front,2990,6,in-line,Gasoline,Manual,Rear
4790,bmw,M5,Touring,1994,Sedan,Front,3795,8,V,Gasoline,Manual,Rear
4247,bmw,M5,Touring,1994,Station Wagon,Front,3793,6,in-line,Gasoline,Manual,Rear
4648,bmw,316,Automatic,1995,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear
5373,bmw,317,d,1995,Hatchback,Front,1665,4,in-line,Diesel,Manual,Rear
4435,bmw,317,d Compact,1995,Hatchback,Front,1665,4,in-line,Diesel,Manual,Rear
5212,bmw,318,Cabriolet,1995,Convertible,Front,1796,4,in-line,Gasoline,Manual,Rear
5454,bmw,318,ti Compact,1995,Hatchback,Front,1995,4,in-line,Gasoline - Premium,Manual,Rear
4781,bmw,330,Cabriolet,1995,Convertible,Front,2793,6,in-line,Gasoline,Manual,Rear
4374,bmw,330,Cabriolet,1995,Convertible,Front,2793,6,in-line,Gasoline,Manual,Rear
4205,bmw,330,Coupe,1995,Coupe,Front,2792,6,in-line,Gasoline,Manual,Rear
4805,bmw,520,Touring,1995,Station Wagon,Front,1989,6,in-line,Gasoline,Manual,Rear
4829,bmw,525,i Sport,1995,Sedan,Front,2497,6,in-line,Diesel,Manual,Rear
4492,bmw,528,i,1995,Sedan,Front,2793,6,in-line,Gasoline,Manual,Rear
4170,bmw,730,Automatic,1995,Sedan,Front,2793,6,in-line,Gasoline,Manual,Rear
53278,bmw,730,Automatic,1995,Sedan,Front,2793,6,in-line,Gasoline,Automatic,Rear
4701,bmw,840,Ci,1995,Coupe,Front,3982,8,in-line,Gasoline,Automatic,Rear
5438,bmw,CLS,i,1995,Sedan,Front,3001,6,in-line,Gasoline,Manual,Rear
5374,bmw,Dinan,850 Twin Turbo,1995,Sedan,Front,5598,12,V,Gasoline,Manual,Rear
4429,bmw,Dinan,M3,1995,Sedan,Front,2990,6,in-line,Gasoline,Manual,Rear
4285,bmw,Just 4,Concept,1995,Sedan,Rear,1097,4,in-line,Gasoline,Automatic,4WD
4414,bmw,M3,Convertible,1995,Coupe,Front,2988,6,in-line,Gasoline,Manual,Rear
4231,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1995,Sedan,Front,3794,6,in-line,Gasoline,Manual,Rear
5503,bmw,S3,Sport CLS,1995,Sedan,Front,2497,6,in-line,Gasoline,Manual,Rear
5037,bmw,Z3,1.8,1995,Convertible,Front,1894,4,in-line,Gasoline,Manual,Rear
4922,bmw,316,Automatic,1996,Sedan,Front,1594,4,in-line,Gasoline,Manual,Rear
4467,bmw,318,Cabriolet,1996,Convertible,Front,1796,4,in-line,Gasoline,Manual,Rear
4772,bmw,325,Coupe,1996,Coupe,Front,2492,6,in-line,Gasoline,Manual,Rear
4471,bmw,328,i,1996,Sedan,Front,2793,6,in-line,Gasoline,Manual,Rear
53095,bmw,328,i Automatic,1996,Sedan,Front,2793,6,in-line,Gasoline,Automatic,Rear
5610,bmw,332,Cabriolet,1996,Convertible,Front,3201,6,in-line,Gasoline,Manual,Rear
5537,bmw,520,i,1996,Sedan,Front,1990,6,in-line,Gasoline,Manual,Rear
5442,bmw,523,i,1996,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear
4852,bmw,525,TDS,1996,Sedan,Front,2496,6,in-line,Diesel,Manual,Rear
4771,bmw,525,Touring,1996,Station Wagon,Front,2494,6,in-line,Gasoline,Manual,Rear
5711,bmw,528,i,1996,Sedan,Front,2793,6,in-line,Gasoline,Automatic,Rear
4821,bmw,528,i Touring,1996,Station Wagon,Front,2793,6,in-line,Gasoline,Manual,Rear
5341,bmw,530,Touring,1996,Station Wagon,Front,2793,6,in-line,Gasoline,Manual,Rear
5144,bmw,535,i,1996,Sedan,Front,3498,8,V,Gasoline,Manual,Rear
4146,bmw,535,Touring,1996,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear
5661,bmw,540,i Automatic,1996,Sedan,Front,4398,8,V,Gasoline,Automatic,Rear
5464,bmw,540,i Touring,1996,Station Wagon,Front,4397,8,V,Gasoline,Manual,Rear
5324,bmw,540,i Touring Automatic,1996,Station Wagon,Front,4396,8,V,Gasoline,Automatic,Rear
4119,bmw,545,Touring,1996,Station Wagon,Front,4398,8,in-line,Gasoline,Manual,Rear
5151,bmw,725,d,1996,Sedan,Front,2498,6,in-line,Diesel,Manual,Rear
