model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_fuel,model_transmission_type,model_drive,car_age,engine_size_category,is_high_cyl,is_automatic,top_speed_kmh,acceleration_0_100_sec,co2_emissions_gpkm,safety_rating,num_doors
4880,bmw,630,CSi,1976,Coupe,Front,2986,6,in-line,Gasoline - Premium,Manual,Rear,49,Large,1,0,220,7.0,160,4,4
5678,bmw,633,CSi,1976,Coupe,Front,3210,6,in-line,Gasoline,Manual,Rear,49,Very Large,1,0,220,7.0,160,4,4
4813,bmw,633,CSi,1976,Coupe,Front,3210,6,in-line,Gasoline,Manual,Rear,49,Very Large,1,0,220,7.0,160,4,4
5013,bmw,Karmann Asso di Quadri,Concept,1976,Sedan,Front,1991,4,in-line,Gasoline,Automatic,Rear,49,Medium,0,1,220,7.0,160,4,4
5432,bmw,320,i,1977,Coupe,Front,1989,4,in-line,Gasoline,Manual,Rear,48,Medium,0,0,220,7.0,160,4,4
4812,bmw,320,i,1977,Coupe,Front,1990,4,in-line,Gasoline - Premium,Manual,Rear,48,Medium,0,0,220,7.0,160,4,4
5332,bmw,520,d,1977,Sedan,Front,1990,6,in-line,Gasoline,Manual,Rear,48,Medium,1,0,220,7.0,160,4,4
5348,bmw,520,d,1977,Sedan,Front,1951,4,in-line,Gasoline,Manual,Rear,48,Medium,0,0,220,7.0,160,4,4
4766,bmw,528,i,1977,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear,48,Large,1,0,220,7.0,160,4,4
5030,bmw,530,d,1977,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear,48,Large,1,0,220,7.0,160,4,4
5415,bmw,628,CSi,1977,Coupe,Front,2997,8,in-line,Gasoline,Manual,Rear,48,Large,1,0,220,7.0,160,4,4
4372,bmw,728,i,1977,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear,48,Large,1,0,220,7.0,160,4,4
5305,bmw,732,i,1977,Sedan,Front,3210,6,in-line,Gasoline,Manual,Rear,48,Very Large,1,0,220,7.0,160,4,4
4915,bmw,320,Turbo,1978,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear,47,Medium,1,0,220,7.0,160,4,4
5309,bmw,520,d Touring,1978,Station Wagon,Front,1951,4,in-line,Gasoline,Manual,Rear,47,Medium,0,0,220,7.0,160,4,4
4792,bmw,628,CSi,1978,Coupe,Front,2997,8,in-line,Gasoline,Manual,Rear,47,Large,1,0,220,7.0,160,4,4
4622,bmw,725,d,1978,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear,47,Large,1,0,220,7.0,160,4,4
4944,bmw,730,Automatic,1978,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear,47,Large,1,0,220,7.0,160,4,4
5353,bmw,B7,Turbo S,1978,Sedan,Front,3500,6,in-line,Gasoline,Manual,Rear,47,Very Large,1,0,220,7.0,160,4,4
5254,bmw,M1,i,1978,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear,47,Very Large,1,0,220,7.0,160,4,4
4507,bmw,320,Turbo,1979,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear,46,Medium,1,0,220,7.0,160,4,4
5577,bmw,628,CSi,1979,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,46,Large,1,0,220,7.0,160,4,4
5507,bmw,633,CSi,1979,Coupe,Front,3210,6,in-line,Gasoline,Manual,Rear,46,Very Large,1,0,220,7.0,160,4,4
5730,bmw,725,d,1979,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear,46,Large,1,0,220,7.0,160,4,4
4423,bmw,728,i,1979,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear,46,Large,1,0,220,7.0,160,4,4
5581,bmw,732,i,1979,Sedan,Front,3210,6,in-line,Gasoline,Manual,Rear,46,Very Large,1,0,220,7.0,160,4,4
4362,bmw,735,i,1979,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear,46,Very Large,1,0,220,7.0,160,4,4
4941,bmw,735,i,1979,Sedan,Front,3451,6,in-line,Gasoline,Manual,Rear,46,Very Large,1,0,220,7.0,160,4,4
47953,bmw,M1,i,1979,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear,46,Very Large,1,0,220,7.0,160,4,4
5645,bmw,316,Automatic,1980,Coupe,Front,1573,4,in-line,Gasoline,Manual,Rear,45,Medium,0,0,220,7.0,160,4,4
4495,bmw,628,CSi,1980,Coupe,Front,2787,6,in-line,Gasoline,Manual,Rear,45,Large,1,0,220,7.0,160,4,4
5759,bmw,628,CSi,1980,Coupe,Front,2786,6,in-line,Gasoline,Manual,Rear,45,Large,1,0,220,7.0,160,4,4
4533,bmw,725,d,1980,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear,45,Large,1,0,220,7.0,160,4,4
5184,bmw,M1,i,1980,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear,45,Very Large,1,0,220,7.0,160,4,4
5330,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1980,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear,45,Very Large,1,0,220,7.0,160,4,4
5105,bmw,518,i,1981,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear,44,Medium,0,0,220,7.0,160,4,4
4834,bmw,520,i,1981,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear,44,Medium,1,0,220,7.0,160,4,4
5022,bmw,525,i,1981,Sedan,Front,2495,6,in-line,Diesel,Manual,Rear,44,Large,1,0,220,7.0,160,4,4
5519,bmw,528,i,1981,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear,44,Large,1,0,220,7.0,160,4,4
4192,bmw,628,CSi,1981,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,44,Large,1,0,220,7.0,160,4,4
5089,bmw,725,d,1981,Sedan,Front,2493,6,in-line,Gasoline,Manual,Rear,44,Large,1,0,220,7.0,160,4,4
5023,bmw,745,i,1981,Sedan,Front,3430,6,in-line,Gasoline - Premium,Manual,Rear,44,Very Large,1,0,220,7.0,160,4,4
5087,bmw,745,i Automatic,1981,Sedan,Front,3430,6,in-line,Gasoline - Premium,Automatic,Rear,44,Very Large,1,1,220,7.0,160,4,4
47954,bmw,M1,i,1981,Coupe,Middle,3453,6,in-line,Gasoline,Manual,Rear,44,Very Large,1,0,220,7.0,160,4,4
4473,bmw,316,Automatic,1982,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear,43,Medium,0,0,220,7.0,160,4,4
4769,bmw,318,Automatic,1982,Sedan,Front,1765,4,in-line,Gasoline - Premium,Manual,Rear,43,Medium,0,0,220,7.0,160,4,4
52995,bmw,318,Automatic,1982,Sedan,Front,1765,4,in-line,Gasoline - Premium,Automatic,Rear,43,Medium,0,1,220,7.0,160,4,4
5446,bmw,320,Automatic,1982,Sedan,Front,1990,6,in-line,Gasoline,Manual,Rear,43,Medium,1,0,220,7.0,160,4,4
53009,bmw,320,Automatic,1982,Sedan,Front,1990,6,in-line,Gasoline,Automatic,Rear,43,Medium,1,1,220,7.0,160,4,4
5276,bmw,323,i,1982,Sedan,Front,2315,6,in-line,Gasoline,Manual,Rear,43,Large,1,0,220,7.0,160,4,4
5499,bmw,323,i Edition,1982,Sedan,Front,2493,6,in-line,Gasoline,Manual,Rear,43,Large,1,0,220,7.0,160,4,4
5236,bmw,325,e,1982,Sedan,Front,2693,6,in-line,Gasoline - Premium,Manual,Rear,43,Large,1,0,220,7.0,160,4,4
5225,bmw,328,i,1982,Coupe,Front,3001,6,in-line,Gasoline,Manual,Rear,43,Very Large,1,0,220,7.0,160,4,4
5605,bmw,328,i Automatic,1982,Coupe,Front,2793,6,in-line,Gasoline,Automatic,Rear,43,Large,1,1,220,7.0,160,4,4
5140,bmw,333,i,1982,Sedan,Front,3300,6,in-line,Gasoline,Manual,Rear,43,Very Large,1,0,220,7.0,160,4,4
5532,bmw,628,CSi,1982,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,43,Large,1,0,220,7.0,160,4,4
5518,bmw,316,Automatic,1983,Coupe,Front,1572,4,in-line,Gasoline,Manual,Rear,42,Medium,0,0,220,7.0,160,4,4
5765,bmw,316,Automatic,1983,Coupe,Front,1765,4,in-line,Gasoline,Automatic,Rear,42,Medium,0,1,220,7.0,160,4,4
5703,bmw,320,i,1983,Sedan,Front,1991,6,in-line,Gasoline - Premium,Manual,Rear,42,Medium,1,0,220,7.0,160,4,4
4475,bmw,323,i,1983,Sedan,Front,2315,6,in-line,Gasoline,Manual,Rear,42,Large,1,0,220,7.0,160,4,4
5594,bmw,325,Automatic,1983,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear,42,Large,1,0,220,7.0,160,4,4
53049,bmw,325,Automatic,1983,Sedan,Front,2494,6,in-line,Gasoline,Automatic,Rear,42,Large,1,1,220,7.0,160,4,4
5270,bmw,525,e,1983,Sedan,Front,2693,6,in-line,Diesel,Manual,Rear,42,Large,1,0,220,7.0,160,4,4
5055,bmw,525,e Automatic,1983,Sedan,Front,2691,6,in-line,Diesel,Automatic,Rear,42,Large,1,1,220,7.0,160,4,4
5154,bmw,628,CSi,1983,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,42,Large,1,0,220,7.0,160,4,4
5028,bmw,725,d,1983,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear,42,Large,1,0,220,7.0,160,4,4
4535,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1983,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,42,Very Large,1,0,220,7.0,160,4,4
5409,bmw,316,Automatic,1984,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear,41,Medium,0,0,220,7.0,160,4,4
4814,bmw,316,Automatic,1984,Sedan,Front,1767,4,in-line,Gasoline,Automatic,Rear,41,Medium,0,1,220,7.0,160,4,4
4688,bmw,318,i,1984,Sedan,Front,1766,4,in-line,Gasoline - Premium,Manual,Rear,41,Medium,0,0,220,7.0,160,4,4
4459,bmw,323,i,1984,Sedan,Front,2314,6,in-line,Gasoline,Manual,Rear,41,Large,1,0,220,7.0,160,4,4
4595,bmw,628,CSi,1984,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,41,Large,1,0,220,7.0,160,4,4
5375,bmw,725,d,1984,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear,41,Large,1,0,220,7.0,160,4,4
4520,bmw,M6,635 CSi,1984,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,41,Very Large,1,0,220,7.0,160,4,4
5417,bmw,M6,635 CSi,1984,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,41,Very Large,1,0,220,7.0,160,4,4
4439,bmw,M6,CSi,1984,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,41,Very Large,1,0,220,7.0,160,4,4
4900,bmw,316,Automatic,1985,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear,40,Medium,0,0,220,7.0,160,4,4
4327,bmw,324,d,1985,Sedan,Front,2494,6,in-line,Diesel,Manual,Rear,40,Large,1,0,220,7.0,160,4,4
4906,bmw,325,e,1985,Coupe,Front,2693,6,in-line,Gasoline - Premium,Manual,Rear,40,Large,1,0,220,7.0,160,4,4
4337,bmw,333,i,1985,Sedan,Front,3210,4,in-line,Gasoline,Manual,Rear,40,Very Large,0,0,220,7.0,160,4,4
4339,bmw,628,CSi,1985,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,40,Large,1,0,220,7.0,160,4,4
5121,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1985,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear,40,Very Large,1,0,220,7.0,160,4,4
5328,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1985,Coupe,Front,3451,6,in-line,Gasoline,Manual,Rear,40,Very Large,1,0,220,7.0,160,4,4
4553,bmw,316,Automatic,1986,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear,39,Medium,0,0,220,7.0,160,4,4
4317,bmw,320,Cabriolet,1986,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear,39,Medium,1,0,220,7.0,160,4,4
4767,bmw,325,Cabriolet,1986,Convertible,Front,2493,6,in-line,Gasoline,Manual,Rear,39,Large,1,0,220,7.0,160,4,4
4352,bmw,325,e,1986,Sedan,Front,2693,6,in-line,Gasoline,Manual,Rear,39,Large,1,0,220,7.0,160,4,4
4974,bmw,628,CSi,1986,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,39,Large,1,0,220,7.0,160,4,4
5241,bmw,730,i,1986,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,39,Large,1,0,220,7.0,160,4,4
5032,bmw,730,i,1986,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,39,Large,1,0,220,7.0,160,4,4
5567,bmw,735,i,1986,Sedan,Front,3453,6,in-line,Gasoline,Manual,Rear,39,Very Large,1,0,220,7.0,160,4,4
5033,bmw,735,i,1986,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear,39,Very Large,1,0,220,7.0,160,4,4
5395,bmw,M3,Convertible,1986,Coupe,Front,2302,4,in-line,Gasoline,Manual,Rear,39,Large,0,0,290,3.9,221,5,4
4326,bmw,M5,Automatic,1986,Sedan,Front,3428,6,in-line,Gasoline,Automatic,Rear,39,Very Large,1,1,220,7.0,160,4,4
5392,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1986,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,39,Very Large,1,0,220,7.0,160,4,4
5598,bmw,Z1,i,1986,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear,39,Large,1,0,220,7.0,160,4,4
4299,bmw,316,Automatic,1987,Sedan,Front,1571,4,in-line,Gasoline,Manual,Rear,38,Medium,0,0,220,7.0,160,4,4
4948,bmw,318,i,1987,Sedan,Front,1796,4,in-line,Gasoline - Premium,Manual,Rear,38,Medium,0,0,220,7.0,160,4,4
5616,bmw,320,Cabriolet,1987,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear,38,Medium,1,0,220,7.0,160,4,4
5118,bmw,320,is,1987,Coupe,Front,1989,4,in-line,Gasoline - Premium,Manual,Rear,38,Medium,0,0,220,7.0,160,4,4
4376,bmw,324,td,1987,Sedan,Front,2443,6,in-line,Diesel,Manual,Rear,38,Large,1,0,220,7.0,160,4,4
4131,bmw,628,CSi,1987,Coupe,Front,2788,6,in-line,Gasoline,Manual,Rear,38,Large,1,0,220,7.0,160,4,4
5431,bmw,730,Automatic,1987,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,38,Large,1,0,220,7.0,160,4,4
5233,bmw,750,Li,1987,Sedan,Front,4986,12,V,Gasoline,Manual,Rear,38,Very Large,1,0,220,7.0,160,4,4
5623,bmw,750,Li,1987,Sedan,Front,4986,12,V,Gasoline,Automatic,Rear,38,Very Large,1,1,220,7.0,160,4,4
5593,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1987,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,38,Very Large,1,0,220,7.0,160,4,4
5112,bmw,Z1,i,1987,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear,38,Large,1,0,220,7.0,160,4,4
4676,bmw,316,g Compact,1988,Hatchback,Front,1596,4,in-line,Gasoline - Premium,Manual,Rear,37,Medium,0,0,220,7.0,160,4,4
4164,bmw,320,Cabriolet,1988,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear,37,Medium,1,0,220,7.0,160,4,4
5211,bmw,520,i Automatic,1988,Sedan,Front,1989,6,in-line,Gasoline,Automatic,Rear,37,Medium,1,1,220,7.0,160,4,4
4452,bmw,524,d,1988,Sedan,Front,2493,6,in-line,Diesel,Manual,Rear,37,Large,1,0,220,7.0,160,4,4
4554,bmw,525,i SE,1988,Sedan,Front,2443,6,in-line,Gasoline,Manual,Rear,37,Large,1,0,220,7.0,160,4,4
5228,bmw,525,i SE,1988,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear,37,Large,1,0,220,7.0,160,4,4
5300,bmw,525,i SE Automatic,1988,Sedan,Front,2441,6,in-line,Gasoline,Automatic,Rear,37,Large,1,1,220,7.0,160,4,4
5441,bmw,530,i,1988,Sedan,Front,2986,6,in-line,Diesel,Manual,Rear,37,Large,1,0,220,7.0,160,4,4
4802,bmw,535,i SE,1988,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear,37,Very Large,1,0,220,7.0,160,4,4
5287,bmw,535,i SE,1988,Sedan,Front,3430,6,in-line,Gasoline,Manual,Rear,37,Very Large,1,0,220,7.0,160,4,4
4656,bmw,535,i SE Automatic,1988,Sedan,Front,3430,6,in-line,Gasoline,Automatic,Rear,37,Very Large,1,1,220,7.0,160,4,4
4559,bmw,730,Automatic,1988,Sedan,Front,2984,6,in-line,Gasoline,Manual,Rear,37,Large,1,0,220,7.0,160,4,4
4120,bmw,M3,Evolution,1988,Coupe,Front,2303,4,in-line,Gasoline,Manual,Rear,37,Large,0,0,290,3.9,221,5,4
5728,bmw,M3,US-version,1988,Coupe,Front,2302,4,in-line,Gasoline,Manual,Rear,37,Large,0,0,290,3.9,221,5,4
4968,bmw,M5,4dr Sedan (4.4L 8cyl Turbo 7AM),1988,Sedan,Front,3533,6,in-line,Gasoline,Manual,Rear,37,Very Large,1,0,220,7.0,160,4,4
5608,bmw,M6,2dr Convertible (4.4L 8cyl Turbo 7AM),1988,Coupe,Front,3453,6,in-line,Gasoline,Manual,Rear,37,Very Large,1,0,220,7.0,160,4,4
4563,bmw,Z1,i,1988,Roadster,Front,2492,6,in-line,Gasoline,Manual,Rear,37,Large,1,0,220,7.0,160,4,4
4343,bmw,316,Automatic,1989,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear,36,Medium,0,0,220,7.0,160,4,4
5003,bmw,518,i,1989,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear,36,Medium,0,0,220,7.0,160,4,4
5523,bmw,730,Automatic,1989,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,36,Large,1,0,220,7.0,160,4,4
5434,bmw,750,i,1989,Sedan,Front,4988,12,V,Gasoline - Premium,Automatic,Rear,36,Very Large,1,1,220,7.0,160,4,4
5289,bmw,850,i,1989,Coupe,Front,4988,12,V,Gasoline,Manual,Rear,36,Very Large,1,0,220,7.0,160,4,4
5526,bmw,850,i Automatic,1989,Coupe,Front,4988,12,V,Gasoline,Automatic,Rear,36,Very Large,1,1,220,7.0,160,4,4
4293,bmw,Z1,i,1989,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear,36,Large,1,0,220,7.0,160,4,4
5318,bmw,316,Automatic,1990,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear,35,Medium,0,0,220,7.0,160,4,4
5295,bmw,320,Cabriolet,1990,Convertible,Front,1988,6,in-line,Gasoline - Premium,Manual,Rear,35,Medium,1,0,220,7.0,160,4,4
4277,bmw,320,i Touring 2.0,1990,Station Wagon,Front,2199,6,in-line,Gasoline - Premium,Manual,Rear,35,Large,1,0,220,7.0,160,4,4
5667,bmw,518,i,1990,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear,35,Medium,0,0,220,7.0,160,4,4
4616,bmw,518,i,1990,Sedan,Front,1794,4,in-line,Gasoline,Manual,Rear,35,Medium,0,0,220,7.0,160,4,4
5299,bmw,520,i,1990,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear,35,Medium,1,0,220,7.0,160,4,4
4861,bmw,525,i,1990,Sedan,Front,2494,6,in-line,Diesel,Manual,Rear,35,Large,1,0,220,7.0,160,4,4
5643,bmw,730,Automatic,1990,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,35,Large,1,0,220,7.0,160,4,4
4982,bmw,850,Automatic,1990,Coupe,Front,4988,12,V,Gasoline,Manual,Rear,35,Very Large,1,0,220,7.0,160,4,4
53289,bmw,850,Automatic,1990,Coupe,Front,4988,12,V,Gasoline,Automatic,Rear,35,Very Large,1,1,220,7.0,160,4,4
5543,bmw,M3,Sports Evolution,1990,Coupe,Front,2467,4,in-line,Gasoline,Manual,Rear,35,Large,0,0,290,3.9,221,5,4
5648,bmw,M3,Sports Evolution,1990,Coupe,Front,2467,4,in-line,Gasoline,Manual,Rear,35,Large,0,0,290,3.9,221,5,4
5646,bmw,Z1,i,1990,Roadster,Front,2494,6,in-line,Gasoline,Manual,Rear,35,Large,1,0,220,7.0,160,4,4
4449,bmw,316,Automatic,1991,Sedan,Front,1596,4,in-line,Gasoline,Manual,Rear,34,Medium,0,0,220,7.0,160,4,4
4218,bmw,318,is Coupe,1991,Coupe,Front,1796,4,in-line,Gasoline - Premium,Manual,Rear,34,Medium,0,0,220,7.0,160,4,4
5671,bmw,320,Cabriolet,1991,Convertible,Front,1990,6,in-line,Gasoline - Premium,Manual,Rear,34,Medium,1,0,220,7.0,160,4,4
5044,bmw,320,i,1991,Sedan,Front,1991,6,in-line,Gasoline - Premium,Manual,Rear,34,Medium,1,0,220,7.0,160,4,4
4552,bmw,325,d,1991,Sedan,Front,2443,6,in-line,Diesel,Manual,Rear,34,Large,1,0,220,7.0,160,4,4
5302,bmw,518,i,1991,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear,34,Medium,0,0,220,7.0,160,4,4
5065,bmw,525,i 24V,1991,Sedan,Front,2500,6,in-line,Gasoline,Manual,Rear,34,Large,1,0,220,7.0,160,4,4
5399,bmw,525,TDS Touring,1991,Station Wagon,Front,2496,6,in-line,Diesel,Manual,Rear,34,Large,1,0,220,7.0,160,4,4
5479,bmw,730,Automatic,1991,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,34,Large,1,0,220,7.0,160,4,4
5356,bmw,M12,Nazca,1991,Coupe,Middle,4988,12,V,Gasoline,Manual,Rear,34,Very Large,1,0,220,7.0,160,4,4
4810,bmw,Z1,i,1991,Roadster,Front,2497,6,in-line,Gasoline,Manual,Rear,34,Large,1,0,220,7.0,160,4,4
